Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rory Macdonald,5Dimes,1458152827000,-150,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1458156967000,-140,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1458158227000,-130,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1458580881000,+100,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1460482746000,+105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1461688571000,+110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1464584432000,+105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1464725524000,+100,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1465129804000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1465248972000,-105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1465362005000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1465362184000,-105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1465443365000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1465824429000,-105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466180465000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466184427000,-115,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466268125000,-120,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466284865000,-125,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466309705000,-120,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466310252000,-115,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466311504000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,5Dimes,1466312044000,-105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1459650427000,-120,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1459785968000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1465245189000,-105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1465912112000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1465971067000,+100,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1466116207000,-105,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1466179386000,-110,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1466265247000,-120,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1466265605000,-115,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1466285767000,-120,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
Rory Macdonald,BetDSI,1466289907000,-119,Rory Macdonald,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
