Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demian Maia,5Dimes,1426360326000,-115,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426360691000,-130,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426360867000,-115,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426362125000,-130,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426362846000,-105,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426364106000,+105,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426397765000,+110,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426407486000,+120,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426436286000,+125,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426529346000,+130,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426703407000,+130,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426707906000,+125,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426792687000,+120,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426860007000,+125,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426888987000,+130,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426889706000,+125,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
Demian Maia,5Dimes,1426898166000,+120,Demian Maia,Ryan Laflare,even,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
