Bet,betsite,dates,odds,fighter1,fighter2,class,url
Conor McGregor,5Dimes,1405352170000,-385,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405352711000,-400,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405354149000,-420,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405379167000,-425,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405477272000,-450,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405622168000,-425,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405622888000,-440,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405626486000,-450,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405636027000,-470,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405694348000,-450,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405709654000,-475,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405778227000,-500,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405785428000,-525,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405794841000,-540,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405796592000,-615,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405799469000,-620,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,5Dimes,1405802530000,-690,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,BetDSI,1405520289000,-405,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
Conor McGregor,BetDSI,1405636928000,-445,Conor McGregor,Diego Brandao,even,https://www.bestfightodds.com/events/ufc-fight-night-46-mcgregor-vs-brandao-827
