Bet,betsite,dates,odds,fighter1,fighter2,class,url
Gegard Mousasi,5Dimes,1399158562000,-210,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1399159101000,-245,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1399231918000,-320,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1399232349000,-350,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1399232525000,-400,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1399232707000,-475,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1399235764000,-335,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1400635445000,-300,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1401034326000,-300,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1401466146000,-280,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1401545167000,-265,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1401567126000,-260,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,5Dimes,1401568207000,-255,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BetDSI,1401236107000,-290,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BetDSI,1401406566000,-310,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BetDSI,1401520867000,-290,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BetDSI,1401557769000,-295,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BetDSI,1401565868000,-275,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BookMaker,1401236107000,-290,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BookMaker,1401254466000,-296,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BookMaker,1401309008000,-290,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,BookMaker,1401565868000,-275,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399158564000,-203,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399159103000,-235,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399231920000,-308,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399232351000,-335,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399232527000,-382,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399232709000,-453,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1399235766000,-322,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1400635447000,-288,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1401034328000,-293,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1401466149000,-283,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1401545170000,-269,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1401567129000,-264,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,SportBet,1401568210000,-259,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,Bovada,1401068706000,-300,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,Bovada,1401279845000,-285,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,Bovada,1401294786000,-300,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,Bovada,1401546247000,-280,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,Bovada,1401565687000,-270,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
Gegard Mousasi,Bovada,1401567487000,-265,Gegard Mousasi,Mark Munoz,even,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
