Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1483236545000,+265,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483236724000,+300,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483239964000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483305665000,+380,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483338424000,+355,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483542005000,+365,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483640827000,+375,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1483798145000,+385,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484149331000,+375,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484266688000,+355,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484313669000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484347507000,+335,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484419688000,+330,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484506806000,+348,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484513466000,+355,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484517249000,+340,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484527143000,+328,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484530388000,+325,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484538124000,+330,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484541364000,+320,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484542444000,+315,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484543164000,+305,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,5Dimes,1484543344000,+290,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1483357685000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1483409165000,+340,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1483410425000,+371,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1483415824000,+355,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484270287000,+345,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484429409000,+315,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484506985000,+348,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484507167000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484520846000,+346,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484521746000,+345,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484523366000,+336,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484523546000,+345,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484523726000,+336,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484525346000,+340,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484528045000,+330,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484531465000,+320,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484540105000,+330,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484542984000,+305,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BetDSI,1484543524000,+300,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1483357144000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1483408625000,+340,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1483408985000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1483409165000,+340,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1483410065000,+371,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1483415466000,+355,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484270288000,+345,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484428867000,+315,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484506627000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484506806000,+315,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484506985000,+348,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484507167000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484520488000,+346,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484520665000,+350,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484520846000,+346,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484521385000,+345,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484523186000,+336,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484523546000,+345,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484523726000,+336,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
B.J. Penn,BookMaker,1484524806000,+340,B.J. Penn,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
