Bet,betsite,dates,odds,fighter1,fighter2,class,url
Glover Teixeira,5Dimes,1435015445000,-140,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1435051444000,-140,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1435170426000,-135,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1436138465000,-130,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1438497366000,-135,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1438607165000,-125,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1438619405000,-120,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1438922346000,+100,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1438960326000,+105,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1438963209000,+100,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439005686000,+105,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439005866000,+100,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439041147000,-105,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439064731000,+103,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439066167000,+105,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439085605000,+110,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439091006000,+115,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439094247000,+120,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439094787000,+125,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
Glover Teixeira,5Dimes,1439095326000,+120,Glover Teixeira,Ovince St. Preux,even,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
