Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alexander Volkov,5Dimes,1500167706000,-175,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1500385688000,-170,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1500400449000,-165,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1501885812000,-150,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1501972029000,-145,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1501989849000,-135,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1502136908000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1503785709000,-125,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1503826748000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504070826000,-125,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504192147000,-120,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504284307000,-115,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504304645000,-120,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504352347000,-115,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504383126000,-120,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504385107000,-125,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,5Dimes,1504385286000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1501973114000,-150,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1501991470000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1502232311000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1503987182000,-125,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1504379706000,-126,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1504381507000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1504385467000,-134,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BetDSI,1504385646000,-135,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1501973114000,-150,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1501991470000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1501992009000,-150,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1501992190000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1502232131000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1502232311000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1502232492000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1503987003000,-125,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504378989000,-126,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504379168000,-125,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504379707000,-126,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504381507000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504384926000,-135,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504385467000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504385646000,-135,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,BookMaker,1504385827000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1500167709000,-169,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1500385689000,-166,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1500400451000,-162,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1501885819000,-147,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1501972034000,-142,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1501989851000,-132,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1502136910000,-127,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1503785711000,-122,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1503826749000,-127,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1504070828000,-122,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1504192149000,-117,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1504304648000,-122,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1504352349000,-117,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1504383128000,-122,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,SportBet,1504385109000,-127,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1500248705000,-170,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1501965012000,-155,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1502068147000,-140,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1502555230000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1502807767000,-135,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1503948247000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1504009142000,-135,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
Alexander Volkov,Bovada,1504101970000,-130,Alexander Volkov,Stefan Struve,even,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
