Bet,betsite,dates,odds,fighter1,fighter2,class,url
Aspen Ladd,5Dimes,1560895026000,-130,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560895385000,-110,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560899525000,-120,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560899710000,-130,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560899891000,-140,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560906009000,-155,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560940383000,-145,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560967928000,-155,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560969366000,-180,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560969728000,-195,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1560973145000,-185,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561067645000,-170,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561096267000,-175,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561138567000,-170,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561163768000,-175,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561406946000,-160,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561496228000,-150,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561609809000,-130,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561908785000,-125,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561917431000,-115,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561917608000,-130,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1561928765000,-120,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562004724000,-110,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562090046000,-105,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562194088000,+100,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562362206000,-110,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562363829000,-140,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562364013000,-155,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562364367000,-175,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562364909000,-170,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562366530000,-150,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562366706000,-155,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562387770000,-145,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562439428000,-155,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562476685000,-150,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562565793000,-145,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562609168000,-165,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562705466000,-170,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562737509000,-165,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562787547000,-170,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562853069000,-160,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562937490000,-150,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562940190000,-150,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562951526000,-140,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1562977266000,-135,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1563033248000,-130,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1563049447000,-125,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1563055386000,-120,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1563065107000,-115,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,5Dimes,1563070507000,-120,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
Aspen Ladd,BetDSI,1562169793000,-102,Aspen Ladd,Germaine de Randamie,even,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
