Bet,betsite,dates,odds,fighter1,fighter2,class,url
Calvin Kattar,5Dimes,1592516166000,-300,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592523917000,-285,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592524087000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592569810000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592725694000,-285,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592764748000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592778427000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592778606000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592778786000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1592941691000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1593202690000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1593371769000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1593434527000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1593477126000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1593920169000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594071968000,-270,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594072209000,-265,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594165568000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594215610000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594414447000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594489930000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594570326000,-300,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594587245000,-330,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594594686000,-310,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594624805000,-300,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594640286000,-270,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594641245000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594653248000,-300,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594662610000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594725487000,-275,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594735446000,-280,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594758366000,-290,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594764246000,-320,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
Calvin Kattar,5Dimes,1594765926000,-300,Calvin Kattar,Dan Ige,even,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
