Bet,betsite,dates,odds,fighter1,fighter2,class,url
Francis Ngannou,5Dimes,1559054886000,-230,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1559068747000,-190,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1559256486000,-185,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1559370614000,-205,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1559695326000,-240,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1559930047000,-225,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1559930228000,-240,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1560116527000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1560433689000,-255,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1560661567000,-245,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1560783066000,-240,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1560813126000,-255,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1560818168000,-265,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561251067000,-275,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561289405000,-265,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561311364000,-260,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561381926000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561556525000,-245,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561641125000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561658946000,-240,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561678206000,-235,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561695666000,-230,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561739048000,-225,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561739406000,-215,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561759927000,-210,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561814826000,-215,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561844346000,-220,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561851546000,-210,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561855866000,-200,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561865047000,-210,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,5Dimes,1561865949000,-220,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561259886000,-256,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561261686000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561264385000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561285988000,-238,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561307587000,-263,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561311186000,-270,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561319286000,-256,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561320187000,-270,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561321987000,-263,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561333686000,-270,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561340887000,-256,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561343585000,-244,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561345387000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561405687000,-250,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561413792000,-244,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561572186000,-238,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561625286000,-217,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561727906000,-222,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561793587000,-222,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561833186000,-213,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561837688000,-217,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561841286000,-222,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561846688000,-227,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561850286000,-213,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561852086000,-213,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561853888000,-208,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561856587000,-204,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BetDSI,1561864689000,-222,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1559774350000,-235,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1559792347000,-237,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1559851747000,-235,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1559852107000,-237,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1559852286000,-235,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1560432967000,-235,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1560450429000,-245,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1560450606000,-235,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1560450796000,-245,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1560469327000,-255,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1560578767000,-257,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561094826000,-260,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561256468000,-280,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561586769000,-265,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561623847000,-252,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561624387000,-265,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561624567000,-252,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561644006000,-225,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561658766000,-215,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561660207000,-214,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561660386000,-210,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561660746000,-214,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
Francis Ngannou,BookMaker,1561660926000,-210,Francis Ngannou,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
