Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alistair Overeem,5Dimes,1573872123000,-125,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1573939265000,-120,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1573939624000,-115,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1573947726000,-105,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1573977784000,-110,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574003523000,-115,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574011805000,-120,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574015947000,-125,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574035744000,-130,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574089205000,-125,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574091184000,-130,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574101808000,-125,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574105404000,-115,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
Alistair Overeem,5Dimes,1574107925000,-120,Alistair Overeem,Jairzinho Rozenstruik,even,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
