Bet,betsite,dates,odds,fighter1,fighter2,class,url
Luke Rockhold,5Dimes,1362259504000,+100,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1362266405000,-130,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1362432903000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1362780006000,+100,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1362780606000,-115,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1364308505000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1364336105000,-135,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1364673304000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1365637204000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1367125205000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1367202903000,-130,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1367318704000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1367930104000,-115,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1367933704000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368018006000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368102908000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368231004000,-130,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368509404000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368584104000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368589504000,-135,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368620405000,-130,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368724804000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368841805000,-130,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368881107000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368885605000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368899106000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368905407000,-115,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368917706000,-110,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368925206000,-105,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368927905000,+100,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368929405000,+105,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,5Dimes,1368930604000,-105,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1365992708000,-115,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1365993007000,-118,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1368669913000,-125,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1368901815000,-130,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1368912022000,-132,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1368915914000,-135,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
Luke Rockhold,BetDSI,1368916212000,-120,Luke Rockhold,Vitor Belfort,even,https://www.bestfightodds.com/events/ufc-on-fx-8-belfort-vs-rockhold-648
