Bet,betsite,dates,odds,fighter1,fighter2,class,url
Clay Guida,5Dimes,1334854803000,+200,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1334856603000,+260,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1335139203000,+280,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1336086010000,+320,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1336506604000,+290,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1336731603000,+300,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1337250603000,+285,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1337250904000,+275,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1338161403000,+290,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1338608703000,+275,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1338644703000,+265,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1338717002000,+270,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340049602000,+280,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340061304000,+270,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340107503000,+280,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340121003000,+275,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340286603000,+290,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340298303000,+275,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340340603000,+260,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340384403000,+255,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340389802000,+235,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340390104000,+230,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340410803000,+220,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340413504000,+215,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340418003000,+200,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340418603000,+195,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,5Dimes,1340419503000,+200,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,BookMaker,1334616608000,+235,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,BookMaker,1334989509000,+255,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,BookMaker,1337142007000,+275,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,BookMaker,1340307609000,+265,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
Clay Guida,BookMaker,1340388309000,+250,Clay Guida,Gray Maynard,even,https://www.bestfightodds.com/events/ufc-on-fx-4-guida-vs-maynard-521
