Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demetrious Johnson,5Dimes,1352916904000,-230,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1353192304000,-210,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1353368404000,-215,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1354838704000,-220,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1355841004000,-225,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1357565103000,-220,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1358685005000,-225,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359051304000,-230,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359127504000,-220,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359172204000,-225,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359225304000,-210,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359227405000,-215,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359229206000,-220,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359254104000,-240,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,5Dimes,1359254403000,-245,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,BetDSI,1350764711000,-260,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,BetDSI,1353219012000,-240,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
Demetrious Johnson,BetDSI,1355626810000,-225,Demetrious Johnson,John Dodson,even,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
