Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dustin Poirier,5Dimes,1518224228000,-130,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1518224947000,+100,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1518225164000,-130,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1518225667000,-150,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1518278589000,-140,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1518325567000,-160,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1518336725000,-140,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1520300731000,-150,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1520354706000,-135,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1520397187000,-140,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1520977867000,-150,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1521402512000,-140,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1521749551000,-135,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1521947552000,-145,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1522021532000,-155,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1522022433000,-140,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1523193513000,-135,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
Dustin Poirier,5Dimes,1523193692000,-140,Dustin Poirier,Justin Gaethje,even,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
