Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brandon Vera,5Dimes,1341081605000,+200,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1341082203000,+220,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1341088503000,+280,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1341097803000,+350,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1341099003000,+280,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1341754804000,+285,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1342466103000,+290,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1343245204000,+300,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1343408103000,+280,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1343924103000,+300,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1344036605000,+320,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1344036904000,+325,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1344099610000,+330,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1344105904000,+340,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,5Dimes,1344120906000,+355,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1340991907000,+220,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1341099007000,+255,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1342369808000,+275,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1343244609000,+280,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1344037511000,+285,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1344106210000,+305,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1344126610000,+315,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,BookMaker,1344130810000,+330,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1341081635000,+212,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1341082228000,+232,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1341088534000,+298,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1341097833000,+377,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1341099025000,+298,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1341754834000,+294,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1342466125000,+299,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1343245236000,+309,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1343408136000,+289,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1343924140000,+309,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1344036641000,+319,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1344036940000,+325,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1344099645000,+328,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1344105631000,+336,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,SportBet,1344120938000,+358,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1342203606000,+265,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1343659805000,+275,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1344000606000,+290,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1344021605000,+300,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1344090007000,+285,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1344106206000,+300,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Bovada,1344130205000,+325,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Sportsbook,1341359416000,+240,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
Brandon Vera,Sportsbook,1341360016000,+260,Brandon Vera,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-on-fox-4-shogun-vs-vera-546
