Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alexander Gustafsson,5Dimes,1331247003000,-210,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331248803000,-280,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331251803000,-260,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331252103000,-230,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331253004000,-245,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331253303000,-270,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331272202000,-225,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331278203000,-260,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331412603000,-250,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1331722503000,-240,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1332009004000,-230,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
Alexander Gustafsson,5Dimes,1332084904000,-240,Alexander Gustafsson,Thiago Silva,even,https://www.bestfightodds.com/events/ufc-on-fuel-tv-2-gustafsson-vs-silva-493
