Bet,betsite,dates,odds,fighter1,fighter2,class,url
Aleksei Oleinik,5Dimes,1593388687000,+250,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1593921610000,+225,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1594297807000,+230,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595126168000,+235,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595256607000,+210,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595265009000,+215,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595269927000,+240,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595435169000,+235,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595510772000,+230,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1595796366000,+225,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596375603000,+215,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596387128000,+205,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596392168000,+195,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596467769000,+185,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596565335000,+180,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596574683000,+170,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596575043000,+175,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596647773000,+170,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
Aleksei Oleinik,5Dimes,1596736923000,+165,Aleksei Oleinik,Derrick Lewis,even, https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
