Bet,betsite,dates,odds,fighter1,fighter2,class,url
Israel Adesanya,5Dimes,1595262490000,-135,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595266212000,-140,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595274127000,-145,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595277725000,-150,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595295843000,-155,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595301965000,-160,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595346010000,-155,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595349488000,-150,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595353926000,-155,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595363169000,-160,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595676130000,-165,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1595734923000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1596246247000,-175,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1596383043000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1596412204000,-175,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1596581052000,-165,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1597700525000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1597714803000,-165,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1598238726000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1598480050000,-160,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1599225859000,-155,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1599425892000,-150,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1599514807000,-155,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600209849000,-160,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600610059000,-165,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600620176000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600623124000,-165,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600723088000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600889051000,-180,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600895412000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,5Dimes,1600966698000,-170,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595262491000,-132,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595266214000,-137,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595274248000,-141,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595277850000,-147,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595295844000,-152,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595301966000,-159,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595322009000,-169,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595322128000,-159,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595349489000,-156,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595353927000,-159,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595363170000,-167,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595550849000,-179,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595550968000,-167,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595759651000,-179,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595759774000,-167,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
Israel Adesanya,BetDSI,1595763849000,-172,Israel Adesanya,Paulo Costa,even, https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai
